YEAR_R,FULL_NAME,PROV_CODE,PROVINCE_N,PRODUCT,HARVEST_AREA
2002,กุ้งกุลาดำ,10,กรุงเทพมหานคร,1014,146
2002,กุ้งกุลาดำ,13,ปทุมธานี,1529,867
2002,กุ้งกุลาดำ,26,นครนายก,7463,669
2002,กุ้งกุลาดำ,25,ปราจีนบุรี,17583,729
2002,กุ้งกุลาดำ,24,ฉะเชิงเทรา,17047,490
2002,กุ้งกุลาดำ,22,จันทบุรี,32894,799
2002,กุ้งกุลาดำ,23,ตราด,14785,645
2002,กุ้งกุลาดำ,21,ระยอง,1610,549
2002,กุ้งกุลาดำ,20,ชลบุรี,4602,338
2002,กุ้งกุลาดำ,11,สมุทรปราการ,11539,352
2002,กุ้งกุลาดำ,74,สมุทรสาคร,5529,734
2002,กุ้งกุลาดำ,73,นครปฐม,29997,796
2002,กุ้งกุลาดำ,70,ราชบุรี,10261,569
2002,กุ้งกุลาดำ,75,สมุทรสงคราม,6720,658
2002,กุ้งกุลาดำ,76,เพชรบุรี,6725,900
2002,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,4644,590
2002,กุ้งกุลาดำ,86,ชุมพร,8683,724
2002,กุ้งกุลาดำ,85,ระนอง,1265,720
2002,กุ้งกุลาดำ,84,สุราษฎร์ธานี,11465,444
2002,กุ้งกุลาดำ,82,พังงา,2828,650
2002,กุ้งกุลาดำ,83,ภูเก็ต,3613,1468
2002,กุ้งกุลาดำ,81,กระบี่,5445,660
2002,กุ้งกุลาดำ,92,ตรัง,4429,659
2002,กุ้งกุลาดำ,80,นครศรีธรรมราช,17343,291
2002,กุ้งกุลาดำ,93,พัทลุง,598,788
2002,กุ้งกุลาดำ,90,สงขลา,10514,686
2002,กุ้งกุลาดำ,91,สตูล,2188,1380
2002,กุ้งกุลาดำ,94,ปัตตานี,2634,488
2003,กุ้งกุลาดำ,10,กรุงเทพมหานคร,1049,155
2003,กุ้งกุลาดำ,13,ปทุมธานี,951,1042
